iter	Logloss
0	0.678860511
1	0.6644505148
2	0.6512079825
3	0.6381386295
4	0.6262709695
5	0.6150777112
6	0.6043227064
7	0.5948449223
8	0.5862497641
9	0.5770151625
10	0.5680252861
11	0.5598009467
12	0.5522699628
13	0.5457741705
14	0.5391555325
15	0.5329394442
16	0.5269400663
17	0.5212556579
18	0.5155564764
19	0.5106766538
20	0.5060641405
21	0.5015538736
22	0.4970110285
23	0.4929586441
24	0.4895068584
25	0.4859020363
26	0.4822664649
27	0.4788309605
28	0.4753495994
29	0.4726653725
30	0.4700397014
31	0.4669885046
32	0.4649541103
33	0.4622863634
34	0.4611422724
35	0.4589868929
36	0.456952143
37	0.4548156336
38	0.4526008915
39	0.4503949447
40	0.4487553368
41	0.4469190528
42	0.4452675608
43	0.4436412286
44	0.4422328796
45	0.4408030089
46	0.4394443066
47	0.4382671156
48	0.4368096411
49	0.435323436
50	0.4341324446
51	0.4326452279
52	0.4315757102
53	0.4304500859
54	0.4293980794
55	0.4281313927
56	0.427110693
57	0.4257793888
58	0.4249797373
59	0.4239545364
60	0.4230431155
61	0.422002043
62	0.421154972
63	0.4204942486
64	0.4197410022
65	0.4188969494
66	0.4182533389
67	0.4175652006
68	0.416878843
69	0.4161650671
70	0.415370681
71	0.4146464974
72	0.4140386616
73	0.4132951489
74	0.4126666238
75	0.4120262631
76	0.4115577618
77	0.4108457991
78	0.4102507296
79	0.4096246647
80	0.4092155524
81	0.4086948839
82	0.4081743261
83	0.407719419
84	0.4073083523
85	0.4069580114
86	0.406446853
87	0.4059368926
88	0.4054704527
89	0.4051297608
90	0.40468912
91	0.4041665249
92	0.4036899559
93	0.4032081375
94	0.4027918621
95	0.4024281885
96	0.4020320716
97	0.4016745148
98	0.401315794
99	0.4010109266
100	0.400623406
101	0.4003222906
102	0.3999426783
103	0.3996511452
104	0.3993435713
105	0.3990230658
106	0.3987393903
107	0.3984838469
108	0.398193828
109	0.3978101068
110	0.3975031576
111	0.3971107745
112	0.3969103483
113	0.3966193097
114	0.3963356626
115	0.3961056408
116	0.3958108947
117	0.3955141351
118	0.3952201997
119	0.394949502
120	0.3947489575
121	0.394412897
122	0.3940633807
123	0.3939218779
124	0.3937370025
125	0.39349858
126	0.3932447348
127	0.3929980942
128	0.3927029142
129	0.3924035823
130	0.3921626217
131	0.3919682436
132	0.3917394114
133	0.391486102
134	0.3912397646
135	0.3910134716
136	0.3907423603
137	0.3904915767
138	0.3903017307
139	0.3899115376
140	0.3897219349
141	0.3894650423
142	0.3891822922
143	0.3890139095
144	0.3888431191
145	0.3886121022
146	0.3883803551
147	0.38817982
148	0.3880202521
149	0.3878200106
150	0.387597415
151	0.3874175122
152	0.3871887012
153	0.3869645578
154	0.3867652726
155	0.3866296901
156	0.3864920818
157	0.386344002
158	0.3860924996
159	0.385885326
160	0.3857444208
161	0.385588463
162	0.3854165962
163	0.3852404634
164	0.3851345215
165	0.3849109532
166	0.3847251593
167	0.3845705494
168	0.3843873387
169	0.3842211684
170	0.3840010142
171	0.3838622924
172	0.3837339769
173	0.3835786178
174	0.3834562039
175	0.3833100322
176	0.3831321881
177	0.3829622942
178	0.3827050076
179	0.3825008203
180	0.3823378342
181	0.382157144
182	0.3819612441
183	0.3818189943
184	0.3816481137
185	0.3815193315
186	0.3812888309
187	0.381188426
188	0.3810456179
189	0.3808963391
190	0.3806413023
191	0.3806238505
192	0.3805359327
193	0.3804147556
194	0.380304158
195	0.3801176971
196	0.380007998
197	0.379844659
198	0.3796713793
199	0.3795809016
200	0.379418384
201	0.3792339317
202	0.379039489
203	0.3788869542
204	0.3786475244
205	0.3785423479
206	0.3783422714
207	0.3781023536
208	0.3778878964
209	0.3777318567
210	0.3776311479
211	0.377446428
212	0.3773379455
213	0.3771832005
214	0.3770264816
215	0.3768494445
216	0.3766901992
217	0.376551372
218	0.3764085701
219	0.3761531411
220	0.3760076064
221	0.3758622438
222	0.3757436537
223	0.3755637264
224	0.3754219102
225	0.3753209268
226	0.375176056
227	0.3751212826
228	0.3750475718
229	0.3749266903
230	0.3746982339
231	0.3746160864
232	0.3744450297
233	0.3743328923
234	0.3742091653
235	0.3740379146
236	0.3738941477
237	0.373770719
238	0.3734289172
239	0.3732158254
240	0.3730228648
241	0.3728973733
242	0.3727872889
243	0.3726731904
244	0.3724650293
245	0.3723679114
246	0.372290565
247	0.3721201308
248	0.3719959295
249	0.3718109803
250	0.371639169
251	0.3715378284
252	0.3713372337
253	0.3712445821
254	0.3710839426
255	0.3709049564
256	0.3706546191
257	0.3705602797
258	0.3704723361
259	0.3703878647
260	0.3703022867
261	0.3701806033
262	0.3700147689
263	0.3698731948
264	0.3698679537
265	0.3697682293
266	0.3696704876
267	0.3695281879
268	0.3694142491
269	0.3692928036
270	0.3691239276
271	0.3689977957
272	0.3689493989
273	0.3688525067
274	0.368628203
275	0.3685370699
276	0.3684148263
277	0.3681256555
278	0.3679567343
279	0.3678699783
280	0.3677284098
281	0.367624808
282	0.3675009262
283	0.3673606714
284	0.3671300096
285	0.3669692414
286	0.3668947103
287	0.3667253586
288	0.3666129853
289	0.366407845
290	0.3662787936
291	0.3661700047
292	0.3660125125
293	0.3658553891
294	0.3656391871
295	0.3655045474
296	0.365346674
297	0.3651570637
298	0.3650499629
299	0.3649019634
300	0.3647962238
301	0.3645651033
302	0.3643326022
303	0.3641728327
304	0.3639817341
305	0.3638534609
306	0.3636825701
307	0.3635424741
308	0.3632923909
309	0.3632195713
310	0.3630154585
311	0.3629103393
312	0.3628176865
313	0.362673966
314	0.362585467
315	0.3625272654
316	0.3623322217
317	0.3621574205
318	0.3619853754
319	0.3619409298
320	0.3618286747
321	0.3617464596
322	0.3616139171
323	0.3615170885
324	0.3614213198
325	0.3613025692
326	0.3612310019
327	0.3611481119
328	0.3609703096
329	0.3608479755
330	0.3607331749
331	0.3605352895
332	0.3605139456
333	0.3604576865
334	0.3603507781
335	0.3601930964
336	0.3600807539
337	0.3599769274
338	0.3598298843
339	0.359645925
340	0.3594136846
341	0.3592392768
342	0.3591353114
343	0.3589995004
344	0.3589139674
345	0.3587602903
346	0.3586886004
347	0.3586123412
348	0.3586119514
349	0.3584399755
350	0.3583250805
351	0.3582866426
352	0.358150755
353	0.3580190433
354	0.357904748
355	0.3577704121
356	0.3576587995
357	0.3575288873
358	0.3573771111
359	0.3572938822
360	0.3572306902
361	0.3571361044
362	0.3570205814
363	0.3568731752
364	0.3567563326
365	0.3566171913
366	0.3565378279
367	0.3565106267
368	0.3563879905
369	0.3563084229
370	0.3561060514
371	0.3559204123
372	0.3558443708
373	0.3557589817
374	0.3556198805
375	0.3554481174
376	0.3553144014
377	0.3552508958
378	0.3551734788
379	0.3550493093
380	0.3549007482
381	0.3548420488
382	0.3547574631
383	0.3546698006
384	0.3545016744
385	0.354397873
386	0.3542993065
387	0.3541642401
388	0.3540137337
389	0.3539005115
390	0.3537422594
391	0.3536115676
392	0.353519634
393	0.353383581
394	0.35333352
395	0.353206049
396	0.3531573348
397	0.3530333421
398	0.3529072601
399	0.3528065493
400	0.352751393
401	0.3526886427
402	0.3525838681
403	0.3525397045
404	0.3524514303
405	0.3522992893
406	0.3521979089
407	0.3520424295
408	0.3519138387
409	0.3517995945
410	0.3516475856
411	0.3515168167
412	0.3513935243
413	0.3512733962
414	0.3511268725
415	0.3509652666
416	0.3508141757
417	0.3507208638
418	0.3505189736
419	0.350423145
420	0.3502886176
421	0.350135201
422	0.350044691
423	0.3498939364
424	0.3498015728
425	0.3496673708
426	0.3494858021
427	0.3493782105
428	0.3492539209
429	0.3491192555
430	0.3489282281
431	0.3488324281
432	0.3487055104
433	0.3486352421
434	0.3485442166
435	0.3484488081
436	0.3483598269
437	0.3482718037
438	0.3481299011
439	0.3479520291
440	0.3478208664
441	0.3477260441
442	0.3475771897
443	0.3474345219
444	0.3473371443
445	0.3472454025
446	0.3471849141
447	0.3470150563
448	0.3468754768
449	0.3468040533
450	0.3466365391
451	0.3464218977
452	0.3463092425
453	0.3462036741
454	0.3460667341
455	0.3459653916
456	0.3458925938
457	0.3458182037
458	0.3456912758
459	0.3455673853
460	0.3454864203
461	0.3453489054
462	0.3452454473
463	0.3451612903
464	0.3449735168
465	0.3448911787
466	0.3448211941
467	0.3447156158
468	0.3446409266
469	0.3445253858
470	0.3443540942
471	0.3442912482
472	0.3441887678
473	0.3439605941
474	0.3438707348
475	0.3437994939
476	0.3436568593
477	0.3434729041
478	0.3433714619
479	0.3432674953
480	0.3431545981
481	0.3429997612
482	0.3429387028
483	0.3428343185
484	0.3427147174
485	0.3426575327
486	0.3424686676
487	0.3423688909
488	0.3422318751
489	0.3421209053
490	0.3420263119
491	0.3419472245
492	0.3419089133
493	0.3417528989
494	0.3415592181
495	0.3414731349
496	0.3413470709
497	0.3412093767
498	0.3411214494
499	0.3409665371
500	0.3408501173
501	0.3407728002
502	0.3406830323
503	0.3405444422
504	0.3404768123
505	0.3403721836
506	0.3402228809
507	0.3400954012
508	0.3400181181
509	0.3399099961
510	0.3397747436
511	0.3396244015
512	0.3395588268
513	0.3394025853
514	0.3392174965
515	0.339153826
516	0.3389948827
517	0.3388376692
518	0.3387797719
519	0.3386153091
520	0.3385043763
521	0.3383812779
522	0.3382027484
523	0.3381317029
524	0.3380024128
525	0.337874466
526	0.3377825896
527	0.3376176459
528	0.337515538
529	0.3374319894
530	0.3373203328
531	0.3371629931
532	0.3370760926
533	0.336942752
534	0.3368112834
535	0.3366710603
536	0.3365362997
537	0.3364009882
538	0.336235104
539	0.3361361711
540	0.3359624282
541	0.3358618519
542	0.3357059481
543	0.3355603834
544	0.3354153824
545	0.3352968567
546	0.3351871359
547	0.335054287
548	0.3349957362
549	0.3348637521
550	0.3348016144
551	0.3346888209
552	0.3346325206
553	0.334451321
554	0.334304565
555	0.3341759552
556	0.3341339668
557	0.3340259823
558	0.3339694418
559	0.333847804
560	0.3337041817
561	0.3335852939
562	0.333455261
563	0.333401204
564	0.3333480235
565	0.3332273144
566	0.3330612317
567	0.3329128111
568	0.3328096928
569	0.3326758657
570	0.3325541086
571	0.33238536
572	0.3322821424
573	0.3321405223
574	0.3319955294
575	0.3318949136
576	0.3318124733
577	0.331718176
578	0.3316114835
579	0.3314770848
580	0.331357979
581	0.3312464341
582	0.3311256669
583	0.3310188896
584	0.3309360289
585	0.3308702784
586	0.3307498801
587	0.3305995025
588	0.33045099
589	0.3303246158
590	0.3302083144
591	0.3301342541
592	0.330073387
593	0.329975363
594	0.3298636037
595	0.329771452
596	0.3296445635
597	0.3294980591
598	0.3293711147
599	0.3292298382
600	0.3291646712
601	0.3290694246
602	0.3289547867
603	0.3288762079
604	0.328777444
605	0.3286538231
606	0.3285477393
607	0.328506686
608	0.3284033805
609	0.3283043167
610	0.3282198189
611	0.3280575622
612	0.3279483457
613	0.3278182301
614	0.3277663588
615	0.3276225797
616	0.3275713594
617	0.3274381359
618	0.3273181656
619	0.327191492
620	0.327117168
621	0.3269694053
622	0.3268186519
623	0.3266899947
624	0.326628881
625	0.3265211241
626	0.3264692093
627	0.3263634696
628	0.3263149472
629	0.3262138011
630	0.3261144763
631	0.3260489104
632	0.3259749189
633	0.3259188008
634	0.3258711317
635	0.3257263881
636	0.3255820237
637	0.3254764619
638	0.3253897955
639	0.3253045932
640	0.3252022718
641	0.3251545845
642	0.3250343774
643	0.3249108581
644	0.3248055014
645	0.3247851574
646	0.3246600671
647	0.3245241519
648	0.3243998719
649	0.3243043563
650	0.3242555801
651	0.3242001529
652	0.3240574219
653	0.3239445278
654	0.3238503167
655	0.3238033604
656	0.3236943812
657	0.3236457943
658	0.3235145732
659	0.3234669389
660	0.3233592537
661	0.3232751829
662	0.3231438393
663	0.3230532331
664	0.3229452545
665	0.3228579759
666	0.3227564099
667	0.3226254606
668	0.322482636
669	0.3224004974
670	0.3223703181
671	0.3222208978
672	0.3220874441
673	0.3219899403
674	0.3218617151
675	0.3217632807
676	0.3216694244
677	0.3216020805
678	0.3215222082
679	0.3214945615
680	0.3214061769
681	0.3212253896
682	0.3210665011
683	0.3209352296
684	0.3208639966
685	0.3207877048
686	0.3206397115
687	0.3205348128
688	0.32042957
689	0.3203782057
690	0.3202244538
691	0.3201813382
692	0.3200812872
693	0.3199452457
694	0.3199232994
695	0.3198479097
696	0.3197178494
697	0.319569004
698	0.319473458
699	0.3194021058
700	0.3193340303
701	0.3192680093
702	0.3192035687
703	0.3191269291
704	0.3190288332
705	0.3189647875
706	0.3188405195
707	0.3187447069
708	0.3186796421
709	0.3186094681
710	0.3184650223
711	0.3183761454
712	0.3182824479
713	0.3181593642
714	0.3180324041
715	0.3179116275
716	0.3177992528
717	0.3177116858
718	0.317576852
719	0.3174909772
720	0.3173692777
721	0.3172727288
722	0.317220252
723	0.3171007095
724	0.3170249857
725	0.3169124921
726	0.3167748583
727	0.316655732
728	0.3165325121
729	0.3164402929
730	0.3163324324
731	0.3162307047
732	0.3161546518
733	0.3161095008
734	0.3160587076
735	0.315940122
736	0.3158227376
737	0.3156697231
738	0.3155814866
739	0.3155022039
740	0.3154126323
741	0.3152986044
742	0.3151789605
743	0.3151144463
744	0.3149664668
745	0.3148927059
746	0.3147753217
747	0.3145836183
748	0.3145154843
749	0.314410704
750	0.3142676605
751	0.3141681594
752	0.3140428465
753	0.313931205
754	0.3138727868
755	0.3136980078
756	0.3135855832
757	0.3134494296
758	0.31334128
759	0.3132453798
760	0.3131969693
761	0.3131202528
762	0.3130804524
763	0.3130227593
764	0.3128989922
765	0.3128138244
766	0.3127805899
767	0.312714556
768	0.3126027422
769	0.3125328892
770	0.3124638532
771	0.312351711
772	0.3121918146
773	0.3120690758
774	0.311920516
775	0.3118264378
776	0.311682831
777	0.3116673393
778	0.3115686139
779	0.3115297972
780	0.3114805563
781	0.3113971411
782	0.3112859431
783	0.3111473681
784	0.3111119981
785	0.3110483022
786	0.3108733774
787	0.3108125295
788	0.3106697194
789	0.3105499803
790	0.3104970707
791	0.3103823738
792	0.3103410791
793	0.3102350793
794	0.3101713764
795	0.3100469563
796	0.3099096528
797	0.3097876972
798	0.309689006
799	0.3096355428
800	0.309560568
801	0.309430838
802	0.3093425791
803	0.3092136902
804	0.3090897348
805	0.3089993139
806	0.3089029819
807	0.3087595853
808	0.3086705771
809	0.3085940526
810	0.3084577207
811	0.3084195451
812	0.3083896017
813	0.3082658798
814	0.3082380611
815	0.3081119427
816	0.308013891
817	0.3079327926
818	0.3078217628
819	0.3077325883
820	0.3076255245
821	0.3075095663
822	0.3073765859
823	0.3072649226
824	0.3071371226
825	0.3070558414
826	0.3069420525
827	0.3068511029
828	0.3068222212
829	0.306710649
830	0.3065996638
831	0.3064859786
832	0.3063870682
833	0.3062753961
834	0.306237867
835	0.3061315599
836	0.3060430282
837	0.3059604505
838	0.3058586304
839	0.3057486095
840	0.3057127611
841	0.3056371659
842	0.3055694281
843	0.3055212089
844	0.3054377667
845	0.3053706473
846	0.3053125258
847	0.3052275371
848	0.3050728945
849	0.3050356929
850	0.3049408572
851	0.3048629639
852	0.3047839875
853	0.3046931931
854	0.3046435696
855	0.3045668897
856	0.3044420846
857	0.3043306864
858	0.3042570857
859	0.3041917826
860	0.3040931488
861	0.3040026507
862	0.3039556719
863	0.3038199043
864	0.3037644466
865	0.3036590504
866	0.3035267493
867	0.3034261189
868	0.3033377583
869	0.3033098082
870	0.30326065
871	0.3032335881
872	0.3031357301
873	0.3030285233
874	0.3029159705
875	0.3028507759
876	0.3027376377
877	0.302674287
878	0.3025965855
879	0.3025459769
880	0.3024288364
881	0.3023700813
882	0.3022923481
883	0.3021757424
884	0.3020786193
885	0.3019641041
886	0.301879125
887	0.3017856749
888	0.3017507266
889	0.3016873543
890	0.3015811994
891	0.3014716668
892	0.301427287
893	0.3013960357
894	0.3013658029
895	0.3012758978
896	0.3012152906
897	0.3011274526
898	0.3010587307
899	0.3010245827
900	0.3009011306
901	0.3007712298
902	0.3006878278
903	0.3006285506
904	0.3005683822
905	0.3004935575
906	0.3003743588
907	0.3002440414
908	0.300169899
909	0.300085608
910	0.3000136206
911	0.2999671205
912	0.2998849014
913	0.299855558
914	0.2997539379
915	0.2996922323
916	0.2995761769
917	0.2994987292
918	0.2994539226
919	0.2993369787
920	0.299192102
921	0.29911086
