iter	Passed	Remaining
0	142	142470
1	150	75293
2	156	52023
3	164	40929
4	170	34020
5	180	29885
6	186	26402
7	194	24142
8	200	22069
9	205	20308
10	212	19066
11	217	17881
12	221	16793
13	226	15931
14	230	15110
15	234	14412
16	237	13749
17	242	13220
18	245	12687
19	249	12206
20	252	11769
21	257	11436
22	260	11073
23	264	10736
24	267	10446
25	272	10194
26	275	9933
27	279	9688
28	282	9456
29	285	9238
30	290	9095
31	294	8905
32	297	8709
33	300	8537
34	302	8344
35	308	8257
36	311	8113
37	315	7977
38	319	7867
39	323	7759
40	327	7662
41	331	7552
42	335	7463
43	339	7371
44	343	7300
45	347	7204
46	351	7123
47	354	7039
48	358	6962
49	362	6888
50	366	6817
51	370	6746
52	373	6676
53	377	6605
54	380	6536
55	385	6497
56	388	6434
57	392	6372
58	395	6311
59	401	6290
60	405	6239
61	409	6199
62	413	6155
63	417	6108
64	421	6062
65	424	6013
66	428	5973
67	433	5937
68	437	5897
69	440	5855
70	444	5814
71	448	5784
72	453	5758
73	458	5736
74	464	5728
75	468	5690
76	471	5653
77	475	5616
78	480	5599
79	484	5567
80	487	5535
81	491	5503
82	496	5486
83	500	5455
84	503	5423
85	507	5393
86	513	5384
87	516	5355
88	520	5326
89	523	5296
90	529	5289
91	534	5271
92	538	5251
93	543	5239
94	547	5218
95	551	5196
96	557	5191
97	562	5176
98	566	5159
99	571	5142
100	576	5131
101	580	5111
102	584	5092
103	588	5072
104	593	5060
105	597	5040
106	601	5020
107	606	5006
108	611	4995
109	616	4990
110	621	4980
111	626	4965
112	630	4947
113	634	4930
114	639	4924
115	643	4907
116	647	4888
117	651	4869
118	657	4865
119	661	4847
120	664	4828
121	668	4809
122	673	4801
123	677	4782
124	680	4764
125	684	4746
126	689	4738
127	693	4721
128	697	4711
129	702	4701
130	707	4691
131	711	4675
132	717	4674
133	722	4666
134	726	4653
135	730	4639
136	734	4624
137	741	4631
138	744	4614
139	748	4599
140	754	4596
141	758	4580
142	761	4565
143	766	4556
144	771	4547
145	774	4531
146	778	4516
147	782	4503
148	786	4493
149	790	4481
150	794	4465
151	797	4449
152	802	4444
153	806	4430
154	810	4416
155	813	4402
156	819	4398
157	822	4385
158	826	4371
159	829	4357
